"electiondate","party","auftraggeber","date","poll_share","vote_share","vote_share_l1","electiondate_l1","electiondate_lead1"
2017-09-24,"lin","Politbarometer",2016-07-08,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Politbarometer",2016-07-08,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Politbarometer",2016-07-08,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Politbarometer",2016-07-08,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Politbarometer",2016-07-08,34,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Politbarometer",2016-07-08,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Politbarometer",2016-07-08,11,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Infratest Dimap",2016-07-07,22,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Infratest Dimap",2016-07-07,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Infratest Dimap",2016-07-07,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Infratest Dimap",2016-07-07,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Infratest Dimap",2016-07-07,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Infratest Dimap",2016-07-07,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Infratest Dimap",2016-07-07,34,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Infratest Dimap",2016-07-07,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Infratest Dimap",2016-07-07,12,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Forsa",2016-07-06,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Forsa",2016-07-06,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Forsa",2016-07-06,10,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Forsa",2016-07-06,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Forsa",2016-07-06,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Forsa",2016-07-06,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Forsa",2016-07-06,35,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Forsa",2016-07-06,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Forsa",2016-07-06,9,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","INSA",2016-07-04,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","INSA",2016-07-04,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","INSA",2016-07-04,10,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","INSA",2016-07-04,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","INSA",2016-07-04,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","INSA",2016-07-04,8,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","INSA",2016-07-04,30,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","INSA",2016-07-04,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","INSA",2016-07-04,14.5,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Verian (Kantar Public. Emnid)",2016-07-02,23,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Verian (Kantar Public. Emnid)",2016-07-02,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Verian (Kantar Public. Emnid)",2016-07-02,10,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Verian (Kantar Public. Emnid)",2016-07-02,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Verian (Kantar Public. Emnid)",2016-07-02,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Verian (Kantar Public. Emnid)",2016-07-02,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Verian (Kantar Public. Emnid)",2016-07-02,33,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Verian (Kantar Public. Emnid)",2016-07-02,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Verian (Kantar Public. Emnid)",2016-07-02,11,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Forsa",2016-06-28,22,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Forsa",2016-06-28,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Forsa",2016-06-28,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Forsa",2016-06-28,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Forsa",2016-06-28,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Forsa",2016-06-28,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Forsa",2016-06-28,34,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Forsa",2016-06-28,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Forsa",2016-06-28,10,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","INSA",2016-06-27,19,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","INSA",2016-06-27,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","INSA",2016-06-27,11,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","INSA",2016-06-27,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","INSA",2016-06-27,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","INSA",2016-06-27,8,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","INSA",2016-06-27,30,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","INSA",2016-06-27,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","INSA",2016-06-27,14,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Verian (Kantar Public. Emnid)",2016-06-25,23,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Verian (Kantar Public. Emnid)",2016-06-25,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Verian (Kantar Public. Emnid)",2016-06-25,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Verian (Kantar Public. Emnid)",2016-06-25,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Verian (Kantar Public. Emnid)",2016-06-25,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Verian (Kantar Public. Emnid)",2016-06-25,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Verian (Kantar Public. Emnid)",2016-06-25,32,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Verian (Kantar Public. Emnid)",2016-06-25,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Verian (Kantar Public. Emnid)",2016-06-25,12,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Politbarometer",2016-06-24,22,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Politbarometer",2016-06-24,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Politbarometer",2016-06-24,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Politbarometer",2016-06-24,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Politbarometer",2016-06-24,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Politbarometer",2016-06-24,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Politbarometer",2016-06-24,34,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Politbarometer",2016-06-24,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Politbarometer",2016-06-24,12,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Forsa",2016-06-22,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Forsa",2016-06-22,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Forsa",2016-06-22,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Forsa",2016-06-22,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Forsa",2016-06-22,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Forsa",2016-06-22,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Forsa",2016-06-22,33,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Forsa",2016-06-22,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Forsa",2016-06-22,11,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","INSA",2016-06-20,20,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","INSA",2016-06-20,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","INSA",2016-06-20,11,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","INSA",2016-06-20,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","INSA",2016-06-20,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","INSA",2016-06-20,7,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","INSA",2016-06-20,31,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","INSA",2016-06-20,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","INSA",2016-06-20,13,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Verian (Kantar Public. Emnid)",2016-06-18,22,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Verian (Kantar Public. Emnid)",2016-06-18,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Verian (Kantar Public. Emnid)",2016-06-18,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Verian (Kantar Public. Emnid)",2016-06-18,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Verian (Kantar Public. Emnid)",2016-06-18,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Verian (Kantar Public. Emnid)",2016-06-18,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Verian (Kantar Public. Emnid)",2016-06-18,33,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Verian (Kantar Public. Emnid)",2016-06-18,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Verian (Kantar Public. Emnid)",2016-06-18,12,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Infratest Dimap",2016-06-17,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Infratest Dimap",2016-06-17,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Infratest Dimap",2016-06-17,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Infratest Dimap",2016-06-17,14,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Infratest Dimap",2016-06-17,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Infratest Dimap",2016-06-17,7,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Infratest Dimap",2016-06-17,31,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Infratest Dimap",2016-06-17,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Infratest Dimap",2016-06-17,14,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Forsa",2016-06-15,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Allensbach",2016-06-15,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Allensbach",2016-06-15,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"pir","Forsa",2016-06-15,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Forsa",2016-06-15,10,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"lin","Allensbach",2016-06-15,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Forsa",2016-06-15,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"gru","Allensbach",2016-06-15,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Forsa",2016-06-15,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fw","Allensbach",2016-06-15,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Allensbach",2016-06-15,8,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Forsa",2016-06-15,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Allensbach",2016-06-15,33.5,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Forsa",2016-06-15,33,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Allensbach",2016-06-15,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Forsa",2016-06-15,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Allensbach",2016-06-15,11.5,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"afd","Forsa",2016-06-15,11,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","INSA",2016-06-13,19.5,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","INSA",2016-06-13,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","INSA",2016-06-13,11,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","INSA",2016-06-13,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","INSA",2016-06-13,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","INSA",2016-06-13,8,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","INSA",2016-06-13,30,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","INSA",2016-06-13,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","INSA",2016-06-13,14,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Verian (Kantar Public. Emnid)",2016-06-11,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Verian (Kantar Public. Emnid)",2016-06-11,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Verian (Kantar Public. Emnid)",2016-06-11,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Verian (Kantar Public. Emnid)",2016-06-11,14,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Verian (Kantar Public. Emnid)",2016-06-11,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Verian (Kantar Public. Emnid)",2016-06-11,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Verian (Kantar Public. Emnid)",2016-06-11,34,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Verian (Kantar Public. Emnid)",2016-06-11,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Verian (Kantar Public. Emnid)",2016-06-11,11,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Forsa",2016-06-08,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Forsa",2016-06-08,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Forsa",2016-06-08,10,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Forsa",2016-06-08,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Forsa",2016-06-08,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Forsa",2016-06-08,7,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Forsa",2016-06-08,34,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Forsa",2016-06-08,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Forsa",2016-06-08,10,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","INSA",2016-06-06,19,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","INSA",2016-06-06,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","INSA",2016-06-06,10.5,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","INSA",2016-06-06,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","INSA",2016-06-06,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","INSA",2016-06-06,8,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","INSA",2016-06-06,30,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","INSA",2016-06-06,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","INSA",2016-06-06,14,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Verian (Kantar Public. Emnid)",2016-06-04,22,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Verian (Kantar Public. Emnid)",2016-06-04,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Verian (Kantar Public. Emnid)",2016-06-04,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Verian (Kantar Public. Emnid)",2016-06-04,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Verian (Kantar Public. Emnid)",2016-06-04,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Verian (Kantar Public. Emnid)",2016-06-04,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Verian (Kantar Public. Emnid)",2016-06-04,33,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Verian (Kantar Public. Emnid)",2016-06-04,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Verian (Kantar Public. Emnid)",2016-06-04,12,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Politbarometer",2016-06-03,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Politbarometer",2016-06-03,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Politbarometer",2016-06-03,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Politbarometer",2016-06-03,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Politbarometer",2016-06-03,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Politbarometer",2016-06-03,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Politbarometer",2016-06-03,33,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Politbarometer",2016-06-03,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Politbarometer",2016-06-03,13,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","GMS",2016-06-02,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Infratest Dimap",2016-06-02,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","GMS",2016-06-02,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"pir","Infratest Dimap",2016-06-02,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Infratest Dimap",2016-06-02,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"lin","GMS",2016-06-02,8,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Infratest Dimap",2016-06-02,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"gru","GMS",2016-06-02,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","GMS",2016-06-02,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fw","Infratest Dimap",2016-06-02,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Infratest Dimap",2016-06-02,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"fdp","GMS",2016-06-02,7,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Infratest Dimap",2016-06-02,32,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"cdu","GMS",2016-06-02,32,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Infratest Dimap",2016-06-02,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"bsw","GMS",2016-06-02,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Infratest Dimap",2016-06-02,15,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"afd","GMS",2016-06-02,13,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Forsa",2016-06-01,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Forsa",2016-06-01,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Forsa",2016-06-01,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Forsa",2016-06-01,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Forsa",2016-06-01,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Forsa",2016-06-01,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Forsa",2016-06-01,34,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Forsa",2016-06-01,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Forsa",2016-06-01,10,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","INSA",2016-05-31,19,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","INSA",2016-05-31,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","INSA",2016-05-31,9.5,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","INSA",2016-05-31,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","INSA",2016-05-31,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","INSA",2016-05-31,8,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","INSA",2016-05-31,30,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","INSA",2016-05-31,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","INSA",2016-05-31,15,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Verian (Kantar Public. Emnid)",2016-05-28,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Verian (Kantar Public. Emnid)",2016-05-28,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Verian (Kantar Public. Emnid)",2016-05-28,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Verian (Kantar Public. Emnid)",2016-05-28,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Verian (Kantar Public. Emnid)",2016-05-28,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Verian (Kantar Public. Emnid)",2016-05-28,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Verian (Kantar Public. Emnid)",2016-05-28,33,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Verian (Kantar Public. Emnid)",2016-05-28,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Verian (Kantar Public. Emnid)",2016-05-28,14,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Forsa",2016-05-24,20,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Forsa",2016-05-24,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Forsa",2016-05-24,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Forsa",2016-05-24,14,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Forsa",2016-05-24,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Forsa",2016-05-24,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Forsa",2016-05-24,33,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Forsa",2016-05-24,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Forsa",2016-05-24,12,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","INSA",2016-05-23,19.5,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","INSA",2016-05-23,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","INSA",2016-05-23,10,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","INSA",2016-05-23,13,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","INSA",2016-05-23,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","INSA",2016-05-23,7,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","INSA",2016-05-23,30.5,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","INSA",2016-05-23,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","INSA",2016-05-23,15,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Verian (Kantar Public. Emnid)",2016-05-21,22,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Verian (Kantar Public. Emnid)",2016-05-21,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Verian (Kantar Public. Emnid)",2016-05-21,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Verian (Kantar Public. Emnid)",2016-05-21,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Verian (Kantar Public. Emnid)",2016-05-21,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Verian (Kantar Public. Emnid)",2016-05-21,6,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Verian (Kantar Public. Emnid)",2016-05-21,32,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Verian (Kantar Public. Emnid)",2016-05-21,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Verian (Kantar Public. Emnid)",2016-05-21,13,12.6,4.7,"2013-09-22","2021-09-26"
2017-09-24,"spd","Infratest Dimap",2016-05-20,21,20.5,25.7,"2013-09-22","2021-09-26"
2017-09-24,"pir","Infratest Dimap",2016-05-20,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"lin","Infratest Dimap",2016-05-20,9,9.2,8.6,"2013-09-22","2021-09-26"
2017-09-24,"gru","Infratest Dimap",2016-05-20,12,8.9,8.4,"2013-09-22","2021-09-26"
2017-09-24,"fw","Infratest Dimap",2016-05-20,NA,1,NA,"2013-09-22","2021-09-26"
2017-09-24,"fdp","Infratest Dimap",2016-05-20,7,10.7,4.8,"2013-09-22","2021-09-26"
2017-09-24,"cdu","Infratest Dimap",2016-05-20,32,33,41.5,"2013-09-22","2021-09-26"
2017-09-24,"bsw","Infratest Dimap",2016-05-20,NA,NA,NA,"2013-09-22","2021-09-26"
2017-09-24,"afd","Infratest Dimap",2016-05-20,15,12.6,4.7,"2013-09-22","2021-09-26"
