"electiondate","party","auftraggeber","date","poll_share","vote_share","vote_share_l1","electiondate_l1","electiondate_lead1"
NA,"cdu","insa",2024-10-19,31,NA,NA,NA,NA
NA,"bsw","insa",2024-10-19,9,NA,NA,NA,NA
NA,"afd","insa",2024-10-19,19,NA,NA,NA,NA
NA,"spd","fgw",2024-10-18,16,NA,NA,NA,NA
NA,"spd","allensbach",2024-10-18,15,NA,NA,NA,NA
NA,"oth","fgw",2024-10-18,9,NA,NA,NA,NA
NA,"oth","allensbach",2024-10-18,9,NA,NA,NA,NA
NA,"lin","fgw",2024-10-18,4,NA,NA,NA,NA
NA,"lin","allensbach",2024-10-18,NA,NA,NA,NA,NA
NA,"gru","fgw",2024-10-18,11,NA,NA,NA,NA
NA,"gru","allensbach",2024-10-18,10.5,NA,NA,NA,NA
NA,"fdp","allensbach",2024-10-18,4.5,NA,NA,NA,NA
NA,"fdp","fgw",2024-10-18,3,NA,NA,NA,NA
NA,"cdu","fgw",2024-10-18,31,NA,NA,NA,NA
NA,"cdu","allensbach",2024-10-18,36,NA,NA,NA,NA
NA,"bsw","allensbach",2024-10-18,9,NA,NA,NA,NA
NA,"bsw","fgw",2024-10-18,8,NA,NA,NA,NA
NA,"afd","fgw",2024-10-18,18,NA,NA,NA,NA
NA,"afd","allensbach",2024-10-18,16,NA,NA,NA,NA
NA,"spd","forsa",2024-10-15,16,NA,NA,NA,NA
NA,"oth","forsa",2024-10-15,12,NA,NA,NA,NA
NA,"lin","forsa",2024-10-15,3,NA,NA,NA,NA
NA,"gru","forsa",2024-10-15,10,NA,NA,NA,NA
NA,"fdp","forsa",2024-10-15,4,NA,NA,NA,NA
NA,"cdu","forsa",2024-10-15,31,NA,NA,NA,NA
NA,"bsw","forsa",2024-10-15,7,NA,NA,NA,NA
NA,"afd","forsa",2024-10-15,17,NA,NA,NA,NA
NA,"spd","insa",2024-10-14,16,NA,NA,NA,NA
NA,"oth","insa",2024-10-14,7.5,NA,NA,NA,NA
NA,"lin","insa",2024-10-14,3.5,NA,NA,NA,NA
NA,"gru","insa",2024-10-14,10,NA,NA,NA,NA
NA,"fdp","insa",2024-10-14,4,NA,NA,NA,NA
NA,"cdu","insa",2024-10-14,31.5,NA,NA,NA,NA
NA,"bsw","insa",2024-10-14,9,NA,NA,NA,NA
NA,"afd","insa",2024-10-14,18.5,NA,NA,NA,NA
NA,"spd","insa",2024-10-12,16,NA,NA,NA,NA
NA,"oth","insa",2024-10-12,7,NA,NA,NA,NA
NA,"lin","insa",2024-10-12,3,NA,NA,NA,NA
NA,"gru","insa",2024-10-12,11,NA,NA,NA,NA
NA,"fdp","insa",2024-10-12,4,NA,NA,NA,NA
NA,"cdu","insa",2024-10-12,31,NA,NA,NA,NA
NA,"bsw","insa",2024-10-12,9,NA,NA,NA,NA
NA,"afd","insa",2024-10-12,19,NA,NA,NA,NA
NA,"spd","infratest",2024-10-10,16,NA,NA,NA,NA
NA,"oth","infratest",2024-10-10,9,NA,NA,NA,NA
NA,"lin","infratest",2024-10-10,3,NA,NA,NA,NA
NA,"gru","infratest",2024-10-10,13,NA,NA,NA,NA
NA,"fdp","infratest",2024-10-10,3,NA,NA,NA,NA
NA,"cdu","infratest",2024-10-10,31,NA,NA,NA,NA
NA,"bsw","infratest",2024-10-10,8,NA,NA,NA,NA
NA,"afd","infratest",2024-10-10,17,NA,NA,NA,NA
NA,"spd","forsa",2024-10-08,17,NA,NA,NA,NA
NA,"oth","forsa",2024-10-08,12,NA,NA,NA,NA
NA,"lin","forsa",2024-10-08,3,NA,NA,NA,NA
NA,"gru","forsa",2024-10-08,11,NA,NA,NA,NA
NA,"fdp","forsa",2024-10-08,3,NA,NA,NA,NA
NA,"cdu","forsa",2024-10-08,31,NA,NA,NA,NA
NA,"bsw","forsa",2024-10-08,6,NA,NA,NA,NA
NA,"afd","forsa",2024-10-08,17,NA,NA,NA,NA
NA,"spd","insa",2024-10-07,16,NA,NA,NA,NA
NA,"oth","insa",2024-10-07,7.5,NA,NA,NA,NA
NA,"lin","insa",2024-10-07,2.5,NA,NA,NA,NA
NA,"gru","insa",2024-10-07,10.5,NA,NA,NA,NA
NA,"fdp","insa",2024-10-07,4,NA,NA,NA,NA
NA,"cdu","insa",2024-10-07,31.5,NA,NA,NA,NA
NA,"bsw","insa",2024-10-07,8,NA,NA,NA,NA
NA,"afd","insa",2024-10-07,20,NA,NA,NA,NA
NA,"spd","insa",2024-10-05,16,NA,NA,NA,NA
NA,"oth","insa",2024-10-05,7,NA,NA,NA,NA
NA,"lin","insa",2024-10-05,3,NA,NA,NA,NA
