"n_parties","n_small_parties","uniform_share","between_district_vote_volatility","uniform_accuracy","proportional_accuracy","accuracy_diff","uniform_mae","proportional_mae","mae_diff","uniform_rmse","proportional_rmse","rmse_diff"
2,0,0,0.02,0.961809523809524,0.992285714285714,-0.0304761904761905,0.0257414452955614,0.0179077884419196,0.00783365685364177,0.0283120177033757,0.0197984599460076,0.00851355775736806
2,0,0,0.03,0.918698412698413,0.956412698412698,-0.0377142857142857,0.0293533652994713,0.0232766409602041,0.00607672433926722,0.0323493688361601,0.0255029071470231,0.00684646168913701
2,0,0,0.04,0.874825396825397,0.908603174603175,-0.0337777777777778,0.0336006442965409,0.0283275627275347,0.00527308156900621,0.0364095596771611,0.0303443234044922,0.00606523627266889
2,0,0,0.05,0.842761904761905,0.874698412698413,-0.031936507936508,0.037861139856921,0.0335915026442827,0.0042696372126384,0.0407663095498614,0.0356625672231413,0.00510374232672002
2,0,0,0.06,0.797714285714286,0.826730158730159,-0.029015873015873,0.0431326986795186,0.0391019335751788,0.00403076510433976,0.0460146653522984,0.0410313800595649,0.00498328529273348
2,0,0,0.07,0.775555555555556,0.796634920634921,-0.021079365079365,0.0492748502717618,0.0457310511807384,0.00354379909102335,0.0523166731866215,0.0478302381673357,0.00448643501928584
2,0,0,0.08,0.751460317460317,0.768285714285714,-0.0168253968253967,0.0536650123478144,0.0506707803306655,0.00299423201714896,0.0565359149279204,0.0526234781397515,0.00391243678816889
2,0,0,0.09,0.731396825396825,0.743714285714286,-0.0123174603174604,0.059836099856848,0.0568739747776193,0.0029621250792287,0.06265883797208,0.0586810935288752,0.00397774444320478
2,0,0,0.1,0.702793650793651,0.721079365079365,-0.0182857142857143,0.0664967696203039,0.0636702588696874,0.00282651075061649,0.0695015358601124,0.0656447829468749,0.00385675291323749
2,0,0,0.12,0.677968253968254,0.69231746031746,-0.0143492063492063,0.0793350144968956,0.0769657043552948,0.00236931014160084,0.0819812295184744,0.0786456902528521,0.00333553926562231
2,0,0,0.15,0.648412698412698,0.658825396825397,-0.0104126984126984,0.0988069426767621,0.0967419888462316,0.00206495383053043,0.1014107110553,0.098258907978624,0.0031518030766762
